,Left Hand Side,Right Hand Side,Support,Confidence,Lift
0,Attire_traditional,Body_Size_fat,0.05737704918032787,0.6363636363636364,2.0430622009569377
1,Attire_traditional,shirt_type_long sleeve,0.05327868852459016,0.5909090909090908,2.72041166380789
2,Basket_Size_small,Basket_colour_white,0.045081967213114756,0.6470588235294118,2.162771958098308
3,Pants_Colour_white,Body_Size_fat,0.040983606557377046,0.6249999999999999,2.006578947368421
4,Kids_Category_baby,Gender_female,0.045081967213114756,1.0,2.0854700854700856
5,Kids_Category_baby,With_Kids_yes,0.045081967213114756,1.0,4.784313725490196
6,Kids_Category_toddler,With_Kids_yes,0.04918032786885246,1.0,4.784313725490196
7,Kids_Category_young,Washer_No_3,0.045081967213114756,0.40740740740740744,2.4851851851851854
8,Kids_Category_young,With_Kids_yes,0.11065573770491803,1.0,4.784313725490196
9,Pants_Colour_blue,shirt_type_long sleeve,0.04918032786885246,0.48,2.209811320754717
10,Shirt_Colour_blue,shirt_type_long sleeve,0.040983606557377046,0.43478260869565216,2.0016406890894176
11,Shirt_Colour_grey,shirt_type_long sleeve,0.045081967213114756,0.5,2.30188679245283
12,Spectacles_yes,Washer_No_3,0.06147540983606557,0.3488372093023256,2.1279069767441863
13,Pants_Colour_purple,Gender_female,0.040983606557377046,0.7142857142857142,2.1785714285714284
14,Kids_Category_young,Shirt_Colour_white,0.040983606557377046,0.37037037037037035,2.008230452674897
15,Kids_Category_young,Attire_casual,0.040983606557377046,0.37037037037037035,2.582010582010582
16,Kids_Category_young,With_Kids_yes,0.0860655737704918,0.7777777777777778,5.4222222222222225
17,shirt_type_long sleeve,Race_malay,0.06147540983606557,0.5555555555555556,2.0854700854700856
18,Spectacles_yes,Attire_casual,0.05327868852459016,0.3023255813953488,2.107641196013289
19,Washer_No_3,With_Kids_yes,0.05327868852459016,0.325,2.265714285714286
20,Attire_formal,shirt_type_long sleeve,0.04918032786885246,0.4444444444444444,2.0461215932914047
21,Attire_formal,Pants_Colour_black,0.045081967213114756,0.8461538461538463,2.0646153846153847
22,Attire_formal,Shirt_Colour_white,0.04918032786885246,0.5,2.0
23,With_Kids_no,shirt_type_long sleeve,0.04918032786885246,0.4444444444444444,2.0461215932914047
24,Attire_formal,shirt_type_long sleeve,0.05327868852459016,0.5,2.30188679245283
25,Attire_traditional,Basket_Size_big,0.05327868852459016,0.5909090909090908,2.9424860853432278
26,Attire_traditional,Basket_colour_white,0.040983606557377046,0.4545454545454545,2.0926243567753
27,Attire_traditional,Body_Size_fat,0.04918032786885246,0.5454545454545454,3.5970515970515966
28,Attire_traditional,Body_Size_fat,0.040983606557377046,0.6249999999999999,2.006578947368421
29,Attire_traditional,Body_Size_fat,0.05327868852459016,0.5909090909090908,2.403030303030303
30,Attire_traditional,Body_Size_fat,0.04918032786885246,0.5454545454545454,2.2557781201848996
31,With_Kids_no,Body_Size_fat,0.040983606557377046,0.6249999999999999,2.006578947368421
32,Attire_traditional,Body_Size_fat,0.05737704918032787,0.6363636363636364,2.6317411402157167
33,Attire_traditional,Gender_female,0.07377049180327869,0.8181818181818181,2.348663101604278
34,Attire_traditional,shirt_type_long sleeve,0.045081967213114756,0.5,2.595744680851064
35,Attire_traditional,shirt_type_long sleeve,0.045081967213114756,0.5,2.8372093023255816
36,Attire_traditional,shirt_type_long sleeve,0.045081967213114756,0.5,3.696969696969697
37,Attire_traditional,With_Kids_no,0.045081967213114756,0.5,2.595744680851064
38,Attire_traditional,shirt_type_long sleeve,0.05327868852459016,0.5909090909090908,2.8836363636363633
39,Kids_Category_baby,Basket_Size_big,0.045081967213114756,1.0,2.238532110091743
40,Kids_Category_baby,Basket_Size_big,0.045081967213114756,1.0,5.191489361702128
41,Kids_Category_toddler,Basket_Size_big,0.04918032786885246,1.0,5.191489361702128
42,Kids_Category_young,Basket_Size_big,0.045081967213114756,0.40740740740740744,2.686686686686687
43,Kids_Category_young,Basket_Size_big,0.0942622950819672,0.8518518518518519,4.422379826635146
44,Basket_Size_big,shirt_type_long sleeve,0.040983606557377046,0.5263157894736842,2.423038728897716
45,Race_foreigner ,Basket_Size_big,0.045081967213114756,0.40740740740740744,2.0287226001511716
46,Shirt_Colour_blue,Basket_Size_big,0.040983606557377046,0.43478260869565216,2.165039929015084
47,Shirt_Colour_grey,Basket_Size_big,0.040983606557377046,0.4545454545454545,2.263450834879406
48,Spectacles_yes,Basket_Size_big,0.06147540983606557,0.3488372093023256,2.3004399748585795
49,Basket_Size_small,Spectacles_no,0.040983606557377046,0.5882352941176471,2.3529411764705883
50,Basket_Size_small,Wash_Item_clothes,0.045081967213114756,0.6470588235294118,2.7698658410732713
51,Basket_Size_small,Basket_colour_white,0.040983606557377046,0.5882352941176471,2.7081021087680357
52,Basket_Size_small,shirt_type_short_sleeve,0.040983606557377046,0.5882352941176471,2.432701894317049
53,Basket_colour_blue,Body_Size_moderate,0.04918032786885246,0.30000000000000004,2.1529411764705886
54,Race_foreigner ,Basket_colour_red,0.040983606557377046,0.37037037037037035,2.008230452674897
55,Basket_colour_red,shirt_type_long sleeve,0.040983606557377046,0.43478260869565216,2.0016406890894176
56,Race_foreigner ,With_Kids_no,0.040983606557377046,0.37037037037037035,2.008230452674897
57,Dryer_No_7,Washer_No_4,0.04918032786885246,0.34285714285714286,2.323809523809524
58,Washer_No_5,Dryer_No_8,0.045081967213114756,0.3666666666666667,2.1301587301587306
59,Washer_No_6,Dryer_No_8,0.06967213114754098,0.45945945945945943,2.669240669240669
