,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Washer_No,Dryer_No,Spectacles,Race_chinese,Race_foreigner ,Race_indian,Race_malay,Attire_casual,Attire_formal,Attire_traditional,Wash_Item_blankets,Wash_Item_clothes
96,1,1,55.0,0,1,0,1,10,1,13,0,3,8,1,0,0,0,1,1,0,0,0,1
97,0,2,49.0,0,1,0,1,3,0,0,0,5,9,0,0,0,0,1,1,0,0,0,1
98,1,2,46.0,0,1,0,0,9,1,12,0,3,8,1,0,0,0,1,1,0,0,0,1
99,0,1,41.0,0,1,0,9,10,1,12,0,5,10,0,0,1,0,0,1,0,0,0,1
100,0,0,53.0,0,1,0,1,7,0,0,0,3,7,0,0,0,0,1,0,1,0,0,1
101,1,0,41.0,0,1,0,3,4,1,0,0,3,10,0,0,0,0,1,1,0,0,0,1
102,1,1,55.0,0,1,1,9,3,1,7,0,4,8,1,0,0,0,1,1,0,0,0,1
103,0,1,34.0,0,1,1,3,9,0,10,0,4,7,0,0,0,0,1,1,0,0,0,1
104,0,0,40.0,0,1,0,1,4,0,0,0,6,10,0,0,0,0,1,1,0,0,0,1
105,1,0,44.0,0,1,0,9,11,1,7,1,5,7,0,0,0,1,0,1,0,0,0,1
106,1,2,50.0,1,0,0,1,0,1,0,0,3,10,0,1,0,0,0,1,0,0,0,1
107,1,1,54.0,0,1,0,1,0,1,0,0,3,7,0,0,1,0,0,1,0,0,0,1
108,1,2,44.0,0,1,0,0,0,1,4,0,5,8,0,1,0,0,0,1,0,0,0,1
109,1,1,32.0,0,1,0,9,4,1,5,1,3,9,0,0,0,1,0,1,0,0,0,1
110,0,2,32.0,0,1,0,1,10,1,5,1,3,9,0,1,0,0,0,1,0,0,0,1
111,1,0,47.0,0,1,0,0,2,1,0,1,6,7,0,0,0,1,0,1,0,0,0,1
112,0,0,30.0,1,2,0,8,9,1,6,1,6,10,0,1,0,0,0,1,0,0,0,1
113,1,0,31.0,0,1,0,10,3,1,0,0,3,8,1,1,0,0,0,1,0,0,0,1
114,0,0,39.0,0,1,0,9,5,1,0,0,3,10,0,0,0,1,0,1,0,0,0,1
115,1,0,40.0,0,1,0,0,2,1,7,0,5,7,0,0,0,0,1,1,0,0,0,1
117,0,0,52.0,1,0,0,8,10,1,0,0,5,7,1,0,0,0,1,1,0,0,0,1
118,1,0,33.0,0,1,0,8,9,0,5,1,3,7,0,0,0,0,1,1,0,0,0,1
119,1,2,47.0,0,1,0,8,10,1,0,0,5,9,1,1,0,0,0,0,1,0,0,1
120,1,0,53.0,1,0,0,4,9,1,5,0,3,9,0,0,0,0,1,1,0,0,0,1
123,1,1,40.0,0,1,0,9,10,1,7,0,4,10,0,0,0,0,1,0,1,0,0,1
130,0,2,31.0,0,1,0,9,9,1,4,0,3,7,0,0,0,0,1,1,0,0,0,1
134,0,1,41.0,0,1,0,3,2,0,2,0,4,7,1,0,0,0,1,0,0,1,0,1
135,0,1,41.0,1,2,0,9,9,1,4,0,6,10,0,0,0,0,1,1,0,0,0,1
137,0,2,30.0,0,1,1,9,4,1,0,0,6,7,0,1,0,0,0,1,0,0,0,1
146,1,0,36.0,0,1,0,8,2,1,6,1,3,9,1,1,0,0,0,1,0,0,0,1
148,1,0,53.0,0,1,0,8,10,1,0,0,3,7,1,0,0,0,1,1,0,0,0,1
150,0,1,39.0,0,1,0,8,2,1,0,0,6,9,0,1,0,0,0,1,0,0,0,1
154,0,0,48.0,0,1,0,8,9,0,5,0,6,9,0,0,0,0,1,1,0,0,0,1
158,1,2,50.0,1,2,0,0,0,1,2,0,4,10,0,0,0,0,1,1,0,0,0,1
162,1,0,41.0,1,4,0,1,6,1,7,1,6,10,0,0,0,0,1,1,0,0,0,1
165,1,2,53.0,1,0,0,1,0,1,7,0,6,7,1,1,0,0,0,1,0,0,1,0
167,1,2,51.0,0,1,0,0,9,1,4,0,6,7,0,1,0,0,0,1,0,0,0,1
171,1,1,31.0,0,1,0,8,3,1,12,0,4,10,0,0,0,0,1,1,0,0,0,1
175,0,2,50.0,0,1,0,0,10,1,0,0,4,8,0,0,0,1,0,1,0,0,0,1
178,1,0,40.0,0,1,0,1,0,1,4,0,5,10,0,0,0,0,1,1,0,0,0,1
182,0,2,54.0,1,4,0,8,10,1,0,0,5,7,0,0,0,0,1,1,0,0,0,1
185,0,2,39.0,0,1,0,0,10,0,0,0,5,10,1,0,0,1,0,1,0,0,1,0
186,1,2,41.0,0,1,0,1,9,1,0,0,3,7,1,0,0,0,1,1,0,0,0,1
188,1,2,41.0,0,1,0,1,0,1,4,0,4,9,0,0,0,0,1,1,0,0,1,0
190,0,0,29.0,0,1,0,6,5,0,2,0,3,8,1,0,0,0,1,1,0,0,0,1
201,1,0,42.0,0,1,0,0,9,1,0,0,4,7,0,0,0,0,1,1,0,0,1,0
205,0,2,30.0,0,1,0,1,7,1,9,1,3,10,1,1,0,0,0,1,0,0,0,1
206,1,0,54.0,0,1,1,8,6,1,4,0,4,8,1,0,0,0,1,1,0,0,0,1
207,0,1,47.0,0,1,0,7,2,0,0,0,6,10,1,0,0,0,1,1,0,0,0,1
209,0,0,46.0,0,1,0,9,8,0,9,0,5,8,0,0,0,0,1,1,0,0,0,1
210,1,1,41.0,1,0,0,3,0,1,7,0,3,9,0,0,0,0,1,1,0,0,0,1
211,1,1,41.0,0,1,0,9,0,1,2,0,6,7,0,0,0,1,0,1,0,0,0,1
212,0,1,42.0,0,1,1,0,8,1,10,0,6,8,0,1,0,0,0,1,0,0,0,1
213,0,0,32.0,0,1,0,0,9,1,5,1,5,10,0,1,0,0,0,1,0,0,0,1
214,1,0,35.0,0,1,1,2,5,0,4,1,3,8,0,0,0,0,1,1,0,0,0,1
215,0,0,45.0,0,1,0,7,9,1,0,0,6,10,0,0,1,0,0,1,0,0,0,1
216,1,0,35.0,1,4,0,0,7,1,7,0,6,9,0,0,0,1,0,0,1,0,0,1
217,0,0,47.0,0,1,0,4,0,0,12,0,4,10,0,0,0,0,1,1,0,0,0,1
218,1,0,34.0,0,1,0,0,3,1,7,1,6,8,0,1,0,0,0,1,0,0,0,1
219,0,1,44.0,0,1,0,9,0,0,0,0,6,7,0,0,0,0,1,1,0,0,0,1
220,1,0,38.0,0,1,0,8,2,1,12,0,6,10,0,0,0,1,0,1,0,0,0,1
221,1,2,49.0,0,1,0,3,5,0,0,0,5,8,0,0,0,0,1,0,1,0,0,1
222,0,0,47.0,0,1,0,8,0,1,2,0,4,10,0,0,0,0,1,1,0,0,0,1
223,0,2,48.0,0,1,0,1,7,0,6,0,6,10,1,0,0,0,1,1,0,0,0,1
224,1,2,52.0,0,1,0,10,9,1,10,1,4,8,0,0,0,1,0,1,0,0,0,1
225,1,0,29.0,1,4,0,0,6,1,4,0,6,9,0,0,0,0,1,1,0,0,0,1
226,1,2,44.0,0,1,0,9,6,0,0,0,3,9,0,0,1,0,0,0,1,0,0,1
227,1,1,50.0,0,1,1,0,0,1,0,0,6,10,0,0,0,1,0,1,0,0,0,1
228,0,0,34.0,0,1,0,8,10,1,0,0,3,7,0,0,0,0,1,1,0,0,0,1
229,0,2,53.0,0,1,0,9,0,0,0,0,6,7,0,0,0,0,1,0,1,0,0,1
230,1,0,47.0,0,1,1,9,10,1,12,0,6,8,0,0,0,0,1,1,0,0,0,1
231,1,1,53.0,0,1,0,5,0,1,7,0,3,7,0,0,0,0,1,1,0,0,0,1
232,0,2,36.0,0,1,0,8,2,0,0,0,4,8,0,0,0,1,0,1,0,0,0,1
233,1,2,43.0,0,1,0,1,0,1,7,0,3,7,0,0,0,1,0,1,0,0,0,1
234,0,0,44.0,0,1,0,8,10,0,12,0,6,9,1,0,0,0,1,0,0,1,0,1
235,0,0,50.0,0,1,0,8,9,0,11,0,5,9,1,0,0,0,1,0,0,1,0,1
236,0,0,55.0,0,1,0,8,8,0,10,0,3,7,0,0,0,0,1,0,0,1,0,1
237,0,2,29.0,0,1,0,6,8,0,10,0,5,10,1,0,0,0,1,0,0,1,0,1
238,0,2,28.0,0,1,0,0,0,1,0,0,4,8,0,0,0,1,0,1,0,0,1,0
239,1,0,35.0,0,1,0,1,0,1,7,0,5,9,0,0,0,0,1,1,0,0,0,1
240,1,1,46.0,0,1,0,2,4,0,4,0,6,7,0,0,1,0,0,1,0,0,0,1
241,1,2,50.0,0,1,0,8,6,1,0,0,5,7,0,0,0,1,0,1,0,0,0,1
242,0,2,33.0,0,1,1,6,8,0,10,0,3,10,0,0,0,0,1,0,0,1,0,1
243,0,1,34.0,0,1,0,0,2,0,0,0,6,7,0,0,0,0,1,1,0,0,0,1
