,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Washer_No,Dryer_No,Spectacles,Race_chinese,Race_foreigner ,Race_indian,Race_malay,Attire_casual,Attire_formal,Attire_traditional,Wash_Item_blankets,Wash_Item_clothes
366,0,1,30.0,0,1,0,1,10,1,7,0,3,7,0,1,0,0,0,1,0,0,1,0
367,0,1,40.0,1,4,0,7,7,1,7,0,3,7,0,0,0,0,1,1,0,0,0,1
368,0,0,42.0,1,4,0,3,10,1,12,0,3,8,0,0,0,0,1,1,0,0,0,1
369,1,1,54.0,1,2,0,6,2,1,4,0,4,7,0,0,0,0,1,1,0,0,0,1
370,0,0,54.0,1,4,0,8,3,0,4,0,6,10,0,0,0,0,1,1,0,0,0,1
371,1,0,48.0,0,1,0,10,11,1,0,0,4,7,0,0,0,1,0,1,0,0,0,1
372,1,1,46.0,0,1,0,6,2,1,4,0,3,8,0,0,0,1,0,1,0,0,1,0
373,1,0,45.0,0,1,0,3,0,1,4,0,5,10,0,1,0,0,0,1,0,0,0,1
374,0,1,45.0,0,1,1,9,3,0,2,0,4,9,0,0,0,0,1,0,1,0,0,1
375,0,2,49.0,0,1,0,0,0,0,0,0,4,8,0,0,1,0,0,0,0,1,0,1
376,0,2,36.0,0,1,0,8,0,0,0,0,5,9,0,0,1,0,0,0,0,1,0,1
377,1,0,32.0,0,1,0,3,0,1,12,1,4,7,1,1,0,0,0,1,0,0,0,1
378,1,1,30.0,0,1,0,3,0,1,5,1,6,7,0,0,0,1,0,1,0,0,0,1
379,1,0,51.0,0,1,0,9,9,1,6,0,6,10,0,0,0,1,0,1,0,0,0,1
380,1,2,33.0,0,1,0,0,2,1,7,1,4,10,0,0,0,1,0,1,0,0,0,1
381,0,1,28.0,0,1,0,9,3,0,0,0,3,7,0,0,0,0,1,1,0,0,0,1
382,1,2,50.0,0,1,0,3,10,1,5,1,5,9,1,1,0,0,0,1,0,0,0,1
383,1,0,53.0,0,1,0,8,10,1,0,0,4,10,0,0,0,1,0,1,0,0,0,1
384,1,0,52.0,0,1,0,9,6,1,5,0,3,10,0,0,1,0,0,1,0,0,1,0
385,0,2,33.0,0,1,0,8,8,0,10,0,4,8,1,0,0,0,1,0,0,1,0,1
386,0,2,45.0,0,1,0,9,0,1,2,0,6,7,0,0,0,0,1,1,0,0,0,1
387,1,2,33.0,1,4,0,8,10,1,2,1,3,8,1,1,0,0,0,1,0,0,0,1
388,1,1,47.0,0,1,0,8,10,1,0,0,4,8,0,0,0,1,0,1,0,0,1,0
389,1,2,31.0,0,1,0,8,10,1,3,0,5,7,0,1,0,0,0,1,0,0,0,1
390,1,0,44.0,0,1,0,8,3,1,4,0,5,8,0,0,0,1,0,1,0,0,0,1
391,0,0,36.0,0,1,0,1,5,1,4,0,6,10,0,0,1,0,0,1,0,0,0,1
392,1,0,50.0,0,1,0,6,4,1,0,1,6,8,0,0,0,1,0,1,0,0,1,0
393,1,2,53.0,0,1,0,8,2,1,11,1,5,7,0,0,0,1,0,1,0,0,0,1
394,1,1,33.0,0,1,0,9,4,1,0,0,3,7,1,0,0,1,0,1,0,0,0,1
395,1,0,45.0,0,1,0,8,3,1,2,0,3,9,0,1,0,0,0,1,0,0,0,1
396,1,2,50.0,1,4,0,1,10,0,0,0,5,7,1,1,0,0,0,0,1,0,1,0
397,0,0,36.0,0,1,0,6,2,1,0,0,4,8,0,0,1,0,0,1,0,0,0,1
398,1,1,49.0,0,1,0,1,9,1,0,0,6,10,0,0,0,1,0,1,0,0,0,1
399,1,0,55.0,0,1,0,0,6,0,0,1,4,10,0,1,0,0,0,1,0,0,0,1
400,1,0,44.0,0,1,0,9,2,1,0,0,4,8,0,0,0,1,0,1,0,0,1,0
401,0,0,45.0,0,1,0,6,10,1,12,0,4,10,0,0,0,1,0,0,0,1,0,1
402,0,0,37.0,0,1,0,1,9,1,10,0,4,9,0,1,0,0,0,1,0,0,0,1
403,1,0,55.0,0,1,0,1,0,1,4,1,5,10,0,0,0,1,0,1,0,0,1,0
404,1,2,54.0,0,1,0,3,10,1,0,0,4,8,0,0,0,1,0,1,0,0,0,1
405,1,1,30.0,0,1,0,9,10,1,0,0,4,9,1,0,0,1,0,0,1,0,0,1
406,1,1,54.0,0,1,0,0,4,1,0,0,4,9,0,0,1,0,0,1,0,0,0,1
407,1,2,40.0,0,1,0,8,5,1,0,0,5,8,0,0,0,1,0,1,0,0,0,1
408,1,0,34.0,0,1,0,3,4,1,5,0,5,7,0,0,0,1,0,1,0,0,0,1
409,1,0,35.0,0,1,0,9,10,0,0,0,5,9,1,1,0,0,0,0,1,0,0,1
410,1,1,52.0,0,1,0,1,0,1,0,0,3,10,1,0,0,1,0,1,0,0,0,1
411,1,1,39.0,1,0,0,3,6,1,0,0,6,9,0,0,0,1,0,1,0,0,0,1
412,0,1,43.0,0,1,0,3,9,1,11,1,5,9,0,0,0,1,0,1,0,0,0,1
413,0,1,44.0,0,1,0,1,4,1,0,0,4,8,0,0,0,1,0,0,1,0,0,1
414,0,2,40.0,0,1,0,1,0,1,0,0,3,7,0,0,0,1,0,1,0,0,1,0
415,1,0,52.0,0,1,0,9,3,1,12,1,4,7,0,1,0,0,0,1,0,0,0,1
416,0,0,39.0,0,1,0,9,2,1,0,1,4,9,0,0,0,1,0,1,0,0,0,1
417,0,2,53.0,0,1,0,9,0,1,5,1,6,10,0,0,0,1,0,1,0,0,0,1
418,1,0,31.0,0,1,0,8,0,1,0,0,5,9,0,0,0,1,0,1,0,0,0,1
419,1,1,32.0,0,1,0,8,10,1,12,1,4,8,0,0,0,1,0,1,0,0,0,1
420,1,2,53.0,0,1,0,3,2,1,0,0,5,10,0,0,1,0,0,1,0,0,0,1
421,0,2,41.0,0,1,0,1,0,1,0,0,5,7,0,1,0,0,0,1,0,0,0,1
422,0,2,41.0,0,1,0,8,9,1,8,0,4,8,0,0,1,0,0,1,0,0,0,1
423,1,2,36.0,0,1,0,1,10,1,2,1,6,10,0,1,0,0,0,1,0,0,0,1
424,1,2,49.0,0,1,0,1,9,1,0,1,5,8,0,1,0,0,0,1,0,0,1,0
425,0,1,50.0,0,1,0,1,1,1,2,1,3,9,1,0,0,1,0,1,0,0,0,1
426,0,0,32.0,0,1,0,9,0,1,2,1,5,8,0,0,0,1,0,1,0,0,0,1
427,0,1,53.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
428,1,0,40.0,0,1,0,1,0,1,0,0,6,10,0,0,0,1,0,1,0,0,0,1
429,1,2,49.0,0,1,0,9,2,1,0,1,3,7,0,1,0,0,0,1,0,0,0,1
430,0,2,47.0,0,1,0,8,10,0,0,0,6,8,0,0,1,0,0,1,0,0,0,1
431,0,1,37.0,1,4,0,9,4,1,9,1,5,7,0,1,0,0,0,1,0,0,0,1
432,0,0,49.0,1,4,0,0,0,1,4,0,5,7,0,0,0,1,0,1,0,0,0,1
433,1,2,44.0,0,1,0,9,5,1,0,0,6,9,0,1,0,0,0,1,0,0,0,1
434,0,1,43.0,0,1,0,8,10,1,10,1,4,7,0,0,1,0,0,1,0,0,0,1
435,0,2,47.0,0,1,0,8,3,1,9,0,5,9,0,0,1,0,0,1,0,0,0,1
436,0,2,45.0,0,1,0,1,10,1,0,0,6,10,0,0,0,1,0,1,0,0,0,1
437,1,2,51.0,0,1,0,3,6,1,0,0,4,9,0,1,0,0,0,1,0,0,0,1
438,1,1,48.0,0,1,1,9,10,1,6,0,5,10,0,0,1,0,0,1,0,0,0,1
439,1,0,37.0,0,1,0,1,5,1,0,0,4,8,1,0,0,1,0,1,0,0,0,1
440,1,1,33.0,0,1,0,9,10,1,5,0,6,8,0,0,1,0,0,1,0,0,0,1
441,1,1,46.0,0,1,0,0,0,1,7,1,5,8,0,0,0,1,0,1,0,0,0,1
443,1,1,40.0,1,4,0,3,10,1,0,0,6,7,0,0,0,1,0,1,0,0,0,1
447,0,1,34.0,0,1,0,1,11,1,0,0,3,7,0,0,0,1,0,1,0,0,0,1
450,0,0,32.0,0,1,0,1,0,0,0,0,3,7,0,0,0,0,1,1,0,0,0,1
451,1,1,44.0,0,1,0,7,5,1,0,0,6,10,0,0,1,0,0,1,0,0,0,1
452,0,2,47.0,0,1,0,9,9,0,2,0,6,8,1,1,0,0,0,0,1,0,0,1
453,1,1,45.0,0,1,0,1,0,1,0,0,3,7,0,0,0,1,0,1,0,0,1,0
454,0,0,45.0,0,1,0,1,2,1,0,0,4,10,0,0,0,0,1,1,0,0,0,1
455,0,2,54.0,0,1,0,8,5,0,0,0,4,9,0,0,0,0,1,1,0,0,0,1
456,0,1,49.0,0,1,0,3,6,1,4,1,4,10,0,1,0,0,0,1,0,0,0,1
457,0,2,34.0,0,1,0,4,10,1,0,0,3,8,0,0,0,0,1,1,0,0,0,1
458,1,2,44.0,0,1,0,9,10,1,2,0,4,9,0,1,0,0,0,0,1,0,0,1
459,0,1,53.0,0,1,0,9,3,1,4,1,4,7,0,1,0,0,0,1,0,0,0,1
460,1,2,33.0,0,1,0,8,9,1,11,0,6,8,0,0,0,1,0,1,0,0,0,1
461,1,2,36.0,0,1,0,8,9,1,6,1,5,10,0,0,0,1,0,1,0,0,0,1
462,1,2,53.0,0,1,0,4,10,1,11,1,6,10,0,0,0,1,0,1,0,0,0,1
463,0,1,47.0,0,1,0,9,10,1,4,0,6,10,0,0,0,0,1,1,0,0,0,1
464,0,2,34.0,0,1,0,9,0,1,6,0,6,10,0,0,1,0,0,1,0,0,0,1
465,0,1,54.0,0,1,0,9,11,0,2,0,4,9,0,0,1,0,0,1,0,0,1,0
466,1,1,52.0,0,1,0,10,0,0,0,0,4,8,1,1,0,0,0,0,0,1,1,0
467,1,1,52.0,0,1,1,10,9,1,2,0,5,9,0,0,0,1,0,0,1,0,0,1
468,1,2,38.0,1,2,0,1,9,1,5,0,4,7,0,1,0,0,0,1,0,0,0,1
469,0,0,53.0,0,1,0,8,3,0,11,0,3,9,0,1,0,0,0,1,0,0,0,1
470,0,2,30.0,0,1,0,1,2,1,10,1,5,9,0,0,0,1,0,1,0,0,0,1
471,1,1,49.0,0,1,0,1,4,1,0,0,5,8,0,0,0,1,0,1,0,0,0,1
472,1,1,41.0,0,1,0,9,2,1,1,0,4,10,0,0,0,1,0,1,0,0,1,0
473,1,1,55.0,0,1,0,1,0,1,7,0,6,7,0,0,0,1,0,1,0,0,0,1
474,0,0,32.0,0,1,0,1,3,0,0,0,3,7,0,1,0,0,0,1,0,0,1,0
475,1,1,35.0,0,1,0,9,11,1,0,1,3,9,0,1,0,0,0,1,0,0,0,1
476,1,1,37.0,0,1,0,1,4,1,0,0,6,8,1,0,1,0,0,1,0,0,1,0
477,1,2,49.0,0,1,0,9,2,1,0,0,3,8,1,1,0,0,0,1,0,0,0,1
478,1,2,53.0,0,1,0,9,2,1,0,0,6,8,0,1,0,0,0,1,0,0,0,1
479,1,2,53.0,0,1,0,5,10,1,4,0,6,8,1,1,0,0,0,1,0,0,1,0
480,1,2,43.0,0,1,0,8,0,1,7,1,5,9,0,1,0,0,0,1,0,0,0,1
481,1,1,32.0,0,1,0,8,10,1,4,0,3,7,0,0,0,0,1,1,0,0,1,0
482,1,2,28.0,0,1,0,8,0,1,0,1,6,9,1,1,0,0,0,1,0,0,1,0
483,0,1,42.0,0,1,0,9,10,1,0,0,3,7,0,0,0,1,0,1,0,0,1,0
484,0,1,49.0,0,1,0,0,0,1,6,1,3,7,0,0,0,1,0,1,0,0,1,0
485,0,2,29.0,0,1,0,1,0,0,0,0,3,10,0,0,0,0,1,0,0,1,1,0
486,1,0,47.0,0,1,0,9,10,1,7,1,5,10,0,0,0,1,0,1,0,0,0,1
487,0,1,28.0,0,1,0,1,10,0,0,0,3,7,0,0,0,1,0,1,0,0,1,0
488,1,2,49.0,0,1,0,9,10,1,0,0,4,10,0,1,0,0,0,0,1,0,0,1
489,0,1,36.0,0,1,0,0,0,1,7,0,6,7,0,1,0,0,0,1,0,0,0,1
490,1,1,39.0,0,1,0,1,10,1,2,0,3,9,1,1,0,0,0,1,0,0,1,0
491,0,2,38.0,0,1,0,2,0,1,7,0,6,9,0,0,0,1,0,1,0,0,1,0
492,1,1,49.0,0,1,0,9,10,1,0,0,4,8,0,1,0,0,0,1,0,0,0,1
493,0,1,35.0,0,1,0,8,9,0,0,0,4,7,0,0,1,0,0,1,0,0,0,1
494,0,0,32.0,0,1,0,9,10,0,11,0,3,10,0,0,1,0,0,1,0,0,0,1
495,0,2,47.0,0,1,0,6,0,1,0,0,4,9,0,0,0,1,0,1,0,0,0,1
496,0,0,51.0,0,1,0,6,10,1,0,0,5,8,0,0,0,1,0,1,0,0,0,1
497,0,2,46.0,0,1,0,0,10,1,4,0,6,9,0,1,0,0,0,1,0,0,0,1
498,0,2,41.0,1,4,0,6,10,1,4,0,3,10,0,0,1,0,0,1,0,0,0,1
499,0,1,28.0,1,4,0,8,0,1,0,0,5,7,1,1,0,0,0,1,0,0,0,1
500,1,2,36.0,1,4,0,9,2,0,2,0,3,8,0,0,1,0,0,0,0,1,0,1
501,0,0,51.0,1,2,0,6,9,1,0,0,5,10,1,0,0,0,1,1,0,0,1,0
502,0,0,29.0,1,4,0,6,5,0,7,0,6,9,1,0,0,0,1,0,0,1,1,0
503,1,1,44.0,0,1,0,8,11,1,4,0,6,8,0,1,0,0,0,1,0,0,0,1
504,1,0,31.0,0,1,0,8,2,1,0,0,3,8,1,1,0,0,0,1,0,0,0,1
505,0,0,52.0,1,4,0,6,10,1,0,0,4,10,0,0,0,1,0,1,0,0,1,0
506,0,1,32.0,1,2,0,6,0,1,0,0,3,10,0,0,0,1,0,1,0,0,0,1
507,0,2,32.0,0,1,0,9,10,1,4,0,3,8,1,0,0,1,0,1,0,0,0,1
508,0,0,49.0,1,4,0,8,9,0,0,0,3,7,0,0,0,0,1,1,0,0,1,0
509,0,0,28.0,1,2,0,8,10,0,12,0,6,7,1,0,0,0,1,0,0,1,1,0
511,1,0,35.0,0,1,0,9,0,1,4,0,3,7,1,1,0,0,0,1,0,0,1,0
512,1,1,38.0,0,1,0,8,11,1,4,0,5,8,0,1,0,0,0,1,0,0,0,1
513,1,0,49.0,0,1,0,8,2,1,0,0,3,9,1,1,0,0,0,1,0,0,0,1
514,0,0,34.0,1,4,0,6,10,1,0,0,3,10,0,0,0,1,0,1,0,0,1,0
515,0,1,44.0,1,2,0,6,0,1,0,0,3,7,0,0,0,1,0,1,0,0,0,1
517,1,2,50.0,0,1,0,9,10,1,2,0,6,9,0,1,0,0,0,0,1,0,0,1
518,0,1,38.0,0,1,0,9,3,1,4,1,4,10,0,1,0,0,0,1,0,0,0,1
520,1,2,52.0,0,1,0,8,9,1,6,1,5,7,0,0,0,1,0,1,0,0,0,1
521,1,2,50.0,0,1,0,4,10,1,11,1,6,10,0,0,0,1,0,1,0,0,0,1
523,0,1,52.0,0,1,0,1,10,1,12,0,5,7,1,0,0,1,0,1,0,0,0,1
524,1,1,32.0,0,1,0,1,9,1,0,1,3,9,0,0,1,0,0,1,0,0,0,1
525,1,2,29.0,0,1,0,7,5,1,5,1,5,9,1,1,0,0,0,1,0,0,1,0
526,1,1,29.0,0,1,0,7,4,1,0,1,5,9,0,0,0,1,0,1,0,0,1,0
527,0,1,47.0,1,4,0,1,0,1,0,0,5,8,0,0,1,0,0,1,0,0,0,1
528,1,0,40.0,1,2,0,1,0,1,0,0,6,7,0,0,0,1,0,0,1,0,0,1
529,0,1,31.0,1,4,0,9,4,1,9,1,3,7,0,1,0,0,0,1,0,0,0,1
530,0,0,44.0,1,4,0,0,0,1,4,0,6,7,0,0,0,1,0,1,0,0,0,1
531,1,2,54.0,0,1,0,9,5,1,0,0,6,8,0,1,0,0,0,1,0,0,0,1
532,0,1,28.0,0,1,0,8,10,1,10,1,4,8,0,0,1,0,0,1,0,0,0,1
533,0,2,34.0,0,1,0,8,3,1,9,0,5,10,0,0,1,0,0,1,0,0,0,1
534,0,2,36.0,0,1,0,1,10,1,0,0,6,10,0,0,0,1,0,1,0,0,0,1
535,1,2,43.0,0,1,0,3,6,1,0,0,5,9,0,1,0,0,0,1,0,0,0,1
536,0,1,29.0,0,1,0,3,9,1,0,0,3,7,0,1,0,0,0,1,0,0,1,0
537,0,1,30.0,0,1,0,3,9,1,11,1,3,9,0,0,0,1,0,1,0,0,0,1
538,0,1,46.0,0,1,0,1,4,1,0,0,4,9,0,0,0,1,0,0,1,0,0,1
539,0,2,39.0,0,1,0,1,0,1,0,0,6,7,0,0,0,1,0,1,0,0,1,0
541,0,0,43.0,0,1,0,9,2,1,0,1,3,9,0,0,0,1,0,1,0,0,0,1
542,0,2,29.0,0,1,0,9,0,1,5,1,6,9,0,0,0,1,0,1,0,0,0,1
543,1,2,42.0,0,1,0,7,9,1,12,1,6,8,0,1,0,0,0,1,0,0,1,0
544,1,2,55.0,1,2,0,10,0,1,0,0,4,9,0,1,0,0,0,1,0,0,0,1
545,1,2,40.0,0,1,0,1,0,1,7,0,6,10,0,0,0,1,0,1,0,0,0,1
546,0,0,36.0,0,1,0,10,8,0,6,0,3,9,0,0,0,0,1,1,0,0,0,1
547,1,2,37.0,1,4,0,5,9,1,7,0,6,9,0,0,0,1,0,0,1,0,0,1
548,1,1,38.0,0,1,0,9,8,1,4,0,6,8,1,0,0,1,0,1,0,0,1,0
549,0,2,36.0,1,0,0,9,9,1,0,0,3,8,0,1,0,0,0,1,0,0,1,0
550,1,2,48.0,0,1,1,9,0,1,0,0,4,9,0,0,0,0,1,1,0,0,0,1
551,1,1,35.0,0,1,0,9,10,1,0,0,3,10,1,1,0,0,0,1,0,0,0,1
552,1,2,41.0,0,1,0,0,0,1,0,0,4,7,1,0,0,1,0,1,0,0,1,0
553,0,0,53.0,0,1,0,1,9,1,12,0,5,10,0,0,0,1,0,0,0,1,0,1
554,0,1,44.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
555,0,2,46.0,0,1,0,4,0,1,12,1,5,9,1,1,0,0,0,1,0,0,0,1
556,1,0,29.0,0,1,0,9,10,1,12,0,3,7,1,0,0,1,0,1,0,0,0,1
557,1,0,42.0,0,1,0,8,9,1,0,0,6,7,0,0,1,0,0,1,0,0,1,0
558,0,1,39.0,0,1,0,6,7,1,9,0,5,10,1,1,0,0,0,1,0,0,0,1
559,0,1,37.0,0,1,0,3,9,1,0,0,6,7,0,1,0,0,0,1,0,0,1,0
560,0,1,49.0,0,1,0,3,9,1,11,1,3,9,0,0,0,1,0,1,0,0,0,1
561,0,1,43.0,0,1,0,1,4,1,0,0,4,10,0,0,0,1,0,0,1,0,0,1
562,1,2,42.0,0,1,0,8,0,0,4,0,4,8,0,1,0,0,0,1,0,0,0,1
563,1,2,54.0,0,1,0,9,2,1,4,0,5,7,0,0,0,1,0,1,0,0,1,0
564,1,1,49.0,0,1,0,3,2,1,0,1,6,10,0,0,0,1,0,1,0,0,0,1
565,0,2,51.0,0,1,0,8,0,0,4,0,4,8,0,1,0,0,0,1,0,0,0,1
566,1,0,53.0,0,1,0,8,2,1,0,0,6,10,0,1,0,0,0,1,0,0,0,1
567,1,0,38.0,1,4,0,8,3,1,4,0,3,10,0,0,0,1,0,1,0,0,0,1
568,1,0,28.0,0,1,0,10,11,1,4,0,3,7,0,0,0,1,0,1,0,0,0,1
569,1,0,30.0,0,1,0,8,6,1,7,0,4,7,1,0,0,1,0,1,0,0,0,1
570,1,1,55.0,0,1,0,1,10,1,2,1,4,8,1,1,0,0,0,1,0,0,1,0
571,1,0,37.0,1,4,0,1,9,1,4,0,4,10,0,0,0,1,0,1,0,0,0,1
572,1,0,42.0,0,1,0,9,6,1,5,1,5,7,0,0,1,0,0,1,0,0,1,0
573,1,1,33.0,0,1,0,9,10,1,4,0,3,7,0,0,1,0,0,1,0,0,0,1
574,1,0,36.0,1,4,0,5,10,1,2,1,3,8,1,1,0,0,0,1,0,0,0,1
575,0,0,38.0,1,2,0,8,9,1,7,0,3,8,0,0,0,0,1,1,0,0,0,1
576,0,1,33.0,0,1,0,0,5,0,3,0,5,7,0,0,0,0,1,1,0,0,0,1
577,1,1,38.0,0,1,0,8,5,1,0,0,6,8,0,1,0,0,0,1,0,0,0,1
578,0,1,36.0,0,1,0,3,0,1,7,0,6,10,0,0,0,1,0,1,0,0,0,1
579,1,2,36.0,0,1,0,3,5,1,0,0,6,9,0,1,0,0,0,1,0,0,1,0
580,0,2,53.0,0,1,0,9,2,1,4,0,6,7,1,1,0,0,0,1,0,0,1,0
581,0,0,50.0,0,1,0,9,9,1,7,0,6,9,1,0,0,0,1,1,0,0,0,1
582,0,0,46.0,0,1,0,9,9,0,11,0,5,7,1,0,0,0,1,0,0,1,1,0
583,0,0,37.0,1,4,1,9,3,1,2,0,5,9,0,0,0,1,0,0,0,1,0,1
584,0,1,43.0,1,0,0,9,2,1,5,1,3,9,0,0,0,1,0,1,0,0,0,1
585,0,0,48.0,1,2,0,8,9,1,6,1,6,8,0,1,0,0,0,1,0,0,0,1
586,0,0,37.0,1,4,0,8,8,1,0,0,4,8,0,0,0,1,0,1,0,0,0,1
587,0,1,52.0,1,4,0,8,10,1,10,1,3,7,0,0,0,1,0,1,0,0,0,1
590,0,0,42.0,0,1,0,1,3,0,0,0,6,7,0,1,0,0,0,1,0,0,1,0
591,0,1,41.0,0,1,0,9,10,1,0,0,3,10,0,0,0,1,0,1,0,0,1,0
592,0,1,47.0,0,1,0,0,0,1,6,1,4,7,0,0,0,1,0,1,0,0,1,0
593,0,1,29.0,0,1,0,1,10,0,0,0,3,7,0,0,0,1,0,1,0,0,1,0
594,0,0,46.0,1,4,0,6,10,1,0,0,5,10,0,0,0,1,0,1,0,0,1,0
595,0,0,36.0,1,4,0,6,10,1,0,0,5,10,0,0,0,1,0,1,0,0,1,0
596,0,1,34.0,0,1,0,3,9,1,0,0,4,7,0,1,0,0,0,1,0,0,1,0
597,0,1,51.0,0,1,0,3,9,1,0,0,4,7,0,1,0,0,0,1,0,0,1,0
598,0,1,51.0,1,4,0,8,10,1,10,1,3,7,0,0,0,1,0,1,0,0,0,1
599,0,0,44.0,0,1,0,9,4,1,0,0,5,8,0,0,0,1,0,0,0,1,1,0
600,0,1,33.0,0,1,0,1,10,1,7,0,3,7,0,1,0,0,0,1,0,0,1,0
601,0,0,46.0,0,1,0,1,3,0,0,0,5,7,0,1,0,0,0,1,0,0,1,0
602,0,0,45.0,1,4,1,9,3,1,2,0,5,10,0,0,0,1,0,0,0,1,0,1
603,0,1,45.0,0,1,0,3,2,1,4,1,5,9,1,0,0,1,0,1,0,0,0,1
604,0,2,50.0,1,4,0,9,10,1,0,1,5,7,0,0,0,1,0,1,0,0,1,0
605,0,1,37.0,0,1,0,8,9,0,0,0,5,8,0,0,0,0,1,1,0,0,0,1
606,0,0,40.0,1,4,0,0,0,1,0,1,3,9,1,0,0,1,0,1,0,0,0,1
607,0,2,44.0,1,0,0,3,11,0,0,0,3,7,1,0,1,0,0,0,1,0,0,1
609,1,0,51.0,0,1,0,9,0,1,4,0,6,7,0,0,0,1,0,1,0,0,0,1
610,1,1,49.0,0,1,0,9,10,1,0,1,6,8,1,1,0,0,0,1,0,0,0,1
611,0,1,40.0,1,4,0,1,10,1,0,0,4,7,0,0,0,1,0,1,0,0,0,1
612,0,0,46.0,0,1,0,0,6,0,12,0,6,9,0,0,0,0,1,1,0,0,0,1
613,1,0,38.0,0,1,0,1,10,1,0,1,3,9,1,1,0,0,0,1,0,0,0,1
614,0,1,52.0,0,1,0,9,7,1,4,1,4,7,0,1,0,0,0,1,0,0,0,1
615,0,0,55.0,0,1,1,9,9,1,0,0,5,9,0,0,0,1,0,0,0,1,0,1
616,0,0,51.0,1,4,1,9,3,1,2,0,5,8,0,0,0,1,0,0,0,1,0,1
617,0,0,41.0,0,1,0,9,8,0,0,0,4,7,0,0,0,1,0,0,1,0,0,1
618,0,1,44.0,1,4,0,8,10,1,10,1,3,8,0,0,0,1,0,1,0,0,0,1
619,0,0,43.0,0,1,0,6,10,1,12,0,4,10,0,0,0,1,0,0,0,1,0,1
620,0,1,49.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
622,0,0,29.0,1,4,1,9,3,1,2,0,5,10,0,0,0,1,0,0,0,1,0,1
623,0,1,32.0,1,4,0,8,10,1,10,1,3,10,0,0,0,1,0,1,0,0,0,1
624,0,1,55.0,1,4,0,8,10,1,10,1,3,8,0,0,0,1,0,1,0,0,0,1
626,0,0,35.0,1,4,0,0,0,1,0,1,5,9,1,0,0,1,0,1,0,0,0,1
627,0,1,55.0,1,4,0,1,7,0,0,0,3,10,0,0,1,0,0,1,0,0,0,1
628,1,1,54.0,0,1,0,8,11,1,0,0,4,8,1,1,0,0,0,1,0,0,0,1
629,1,0,54.0,0,1,0,8,2,0,0,0,4,10,0,0,1,0,0,0,1,0,1,0
630,1,0,45.0,0,1,0,9,4,1,0,1,3,7,0,0,1,0,0,1,0,0,0,1
632,1,0,37.0,0,1,0,8,10,0,0,0,5,9,0,0,1,0,0,1,0,0,0,1
633,1,0,28.0,0,1,0,9,5,0,7,0,4,7,0,0,1,0,0,0,0,1,0,1
634,1,0,39.0,1,2,0,9,10,1,7,0,4,7,0,0,0,1,0,0,1,0,0,1
635,1,0,38.0,1,4,0,7,9,1,0,0,6,10,1,0,0,1,0,1,0,0,1,0
636,1,1,37.0,0,1,0,8,10,1,2,1,3,10,1,1,0,0,0,1,0,0,0,1
637,1,0,55.0,0,1,0,8,10,1,0,0,6,7,0,0,1,0,0,1,0,0,1,0
638,0,0,47.0,0,1,0,9,2,0,0,0,6,8,1,0,0,1,0,0,1,0,1,0
639,0,0,32.0,1,4,0,2,2,0,2,0,3,10,1,0,0,0,1,0,0,1,0,1
640,0,1,53.0,0,1,0,9,9,1,7,0,5,8,0,1,0,0,0,1,0,0,0,1
641,0,1,40.0,0,1,0,8,3,0,0,0,6,7,1,0,0,1,0,1,0,0,1,0
642,1,0,48.0,0,1,0,6,11,1,0,1,5,7,0,1,0,0,0,1,0,0,0,1
643,0,0,29.0,0,1,0,1,5,0,2,0,4,10,0,1,0,0,0,1,0,0,0,1
644,1,0,39.0,0,1,0,6,0,1,4,0,5,7,0,0,0,1,0,1,0,0,0,1
646,1,1,53.0,0,1,0,9,0,1,4,0,6,10,0,0,0,1,0,1,0,0,0,1
649,1,1,55.0,0,1,0,8,2,0,0,0,6,8,0,0,0,1,0,0,1,0,0,1
651,1,0,41.0,0,1,0,9,9,1,7,1,3,7,0,0,0,1,0,1,0,0,0,1
654,0,2,44.0,0,1,0,8,5,1,12,1,5,9,0,0,0,1,0,1,0,0,0,1
656,1,0,34.0,1,4,0,9,2,1,0,0,3,7,0,0,0,1,0,1,0,0,1,0
657,0,1,40.0,1,4,0,9,4,1,9,1,5,7,0,1,0,0,0,1,0,0,0,1
658,0,1,28.0,1,4,0,8,0,1,0,0,6,7,1,1,0,0,0,1,0,0,0,1
661,0,1,37.0,1,4,0,1,7,0,0,0,5,10,0,0,1,0,0,1,0,0,0,1
664,1,0,43.0,0,1,0,1,0,1,12,1,3,7,0,1,0,0,0,1,0,0,0,1
665,1,2,44.0,0,1,1,2,5,1,5,1,5,7,0,0,1,0,0,1,0,0,0,1
666,0,1,44.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
667,0,1,38.0,0,1,0,9,10,1,11,1,6,9,0,1,0,0,0,1,0,0,0,1
668,1,0,46.0,0,1,0,9,6,1,5,1,3,7,0,0,1,0,0,1,0,0,1,0
669,1,0,50.0,0,1,0,1,10,1,0,1,3,10,1,1,0,0,0,0,1,0,0,1
